metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,general_product_information/hyte_sku,metadata/part_numbers/5,metadata/part_numbers/6,metadata/part_numbers/7,metadata/part_numbers/8,metadata/series,metadata/variant,metadata/releaseYear,metadata/last_manually_spec_verified_at,connection_types/0,connection_types/1,ear_pad_material/0,features/0,platforms/0,platforms/1,platforms/2,use_cases/0,use_cases/1,driver_size,frequency_response_low,frequency_response_high,headphone_type,ear_cup_type,weight,has_microphone,microphone_type,frame_material
Panasonic RP-HXC40-K Closed-Back Headphones Black / Silver,Panasonic,RP-HXC40-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro A50 + Base Station Headset,ASTRO Gaming,939-001673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RPDJS200W Closed Headphones,Panasonic,RPDJS200W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser M2 AEBT Black Closed Headphones,Sennheiser,M2 AEBT Black,506250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-COR150RD Closed-Back Wired In-Ear Headphones,Audio-Technica,ATH-COR150RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDREX25LPPNK Closed In-Ear Headphones,Sony,CZ-MDREX25LPPNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRXB200/L Closed Headphones,Sony,MDRXB200,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE280-P Closed White / Pink In-Ear Headphones,Panasonic,RP-HJE280-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-EX58V/BLK Closed In-Ear Headphones,Sony,MDR-EX58V,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shure SRH840A Closed-Back Headphones,Shure,SRH840A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs HS-420 Closed Headphones,Creative Labs,EF0400AA001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony 162219 Closed-Back Headphones,Sony,162219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHB4000WT Closed Wireless Headphones,Philips,SHB4000WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Beach Recon 50 Headset,Turtle Beach,TBS-6003-01                                                    TBS-6003-02,TBS-6003-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K267 TIESTO Closed Headphones,AKG,K267TIESTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro A10 Closed-Back Gaming Headset,Logitech G,939-001844,939-001847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS80 RGB Purple Rune Wireless Gaming Headset,Corsair,CA-901123C-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics ACM-62 Headphones,Cyber Acoustics,ACM-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCTIC P311 Closed-Back Headphones,ARCTIC,AC-P311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antec BXH-100 Closed-Back In-Ear Headphones GRN,Antec,BXH-100 GRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyle Audio PIEH40W Closed In-Ear White Headphones,Pyle Audio,PIEH40W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-MODA CROSSFADE M-80 Closed Headphones,V-MODA,M-80-U-WPEARL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKSTAR HF580 Open-Back Headphones,TAKSTAR,HF580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss SB45 Closed-Back USB Wired Headphones,Koss,SB45 USB,SB45-USB,SB45 USB-178203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K272 HD Closed Headphones,AKG,K272 HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K242HD Semi-Open Wired Headphones,AKG,K242HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro A40 7.1 Channel Closed-Back Wired Gaming Headset,Astro,3AS42-PSU9W-381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Hesh 2 Unleashed ,Skullcandy,S6HBGY-374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etymotic Research ER4 Studio Reference Closed In-Ear Headphones,Etymotic,ER4SR,8.4643E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE125-K Earbud,Panasonic,RP-HJE125-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G930 Wireless Gaming Headset 7.1 Channel Closed-Back Black / Red,Logitech G,981-000257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser MOMENTUM 4 Blue / Black Closed Headphones,Sennheiser,700386                                                    M4AEBT Denim                                                    MOMENTUM 4 Denim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCHOSE G9 7.1 Channel Closed Headphones,MCHOSE,MC-G9-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyle Audio PHPDJ2 Closed-Back Headphones,Pyle Audio,PHPDJ2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harman Kardon J55BLK Closed Headphones,Harman Kardon,J55BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs Sensemore Air In Ear Closed Headset With Microphone,CREATIVE,51EF1020AA000,EF1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba OG-AUD63075 Closed-Back Black/Blue Headphones,Syba,OG-AUD63075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 558 Open-Back Wired Headphones,Sennheiser,HD558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser SC260 Closed Headphones,EPOS,SC260                                                    504402,SC260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyle Audio PIEHWD80DK In-Ear Wired Closed-Back Headphones,Pyle Audio,PIEHWD80DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trust GXT 363 (FF Packaging) 7.1 Channel Closed-Back Gaming Headset,Trust,21462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHS390/37 Closed Black / Silver Headphones,Philips,SHS390,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic DT 1990 Pro Open-Back Headphones,beyerdynamic,DT1990 Pro,DT 1990 Pro MKI,Dt1990 Pro,710490,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monoprice Monolith M1060 Open-Back Headphones,Monoprice,116050                                                    16050,116050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony INZONE H9 Headset,Sony,H9 Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-AS20J Closed Earbud,Sony,MDR-AS20J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha EPH-50BL Closed Earbud,Yamaha,EPH-50BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Stinger Headset,HyperX,HX-HSCS-BK/NA,4P5L7AA#ABL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRAS200G Wired Closed-Back Black / Green Earbuds,Sony,MDRAS200G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermaltake Level 10 M Closed-Back Gaming Headset,Thermaltake,HT-LTM010ECBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denon AH-C400 Closed Earbud,Denon,AH--C400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADATA XPG PRECOG S Closed-Back Gaming Headset,ADATA,PRECOG S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyle Audio PIEHIP20P In-Ear Headphones,Pyle Audio,PIEHIP20P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CXC 700 Closed In-Ear Headphones,Sennheiser,CXC 700,504620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bose QuietComfort 35 Series II Wireless Closed-Back Headphones,Bose,789564-0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser M2 OEi Wired Headphones Closed-Back Brown,Sennheiser,M2 OEi Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP Massdrop x HiFiMAN Edition XX Open-Back Headphones,DROP,Edition XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba OG-AUD23042 Closed-Back Headphones,Syba,OG-AUD23042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Predator Galea 300 Closed Gaming Headset,Acer,NP.HDS1A.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair VOID RGB ELITE Closed-Back 7.1 Channel Gaming Headset,Corsair,CA-9011202-NA                                                    CA-9011202-EU,CA-9011202-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI MAESTRO 300 Closed Headphones,MSI,MAESTRO 300,MAESTRO300,,,,,,,,,MAESTRO,300,2024,2026-02-28T22:55:22.109Z,USB-C,USB-A,Leather,Spatial Audio,Mobile,PC,Console,Gaming,Casual,40,20,40,Closed-Back,On-Ear,258,TRUE,Detachable Boom,Plastic
Skullcandy Hesh 2 Wireless Headphones (Black/Yellow),Skullcandy,S5URDZ-083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic DT990 Premium Limited-Edition Open-Back Headphones,beyerdynamic,713368,718033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 559 Open-Back Wired Headphones,Sennheiser,HD 559                                                    506828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etymotic Research ER7-MC3-BLACK-I Closed In-Ear Headphones,Etymotic Research,ER7-MC3-BLACK-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G935 7.1 Channel Headset,,981-000742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2FFFM-319 Closed In-Ear Headphones With Microphone in Black / Green,Skullcandy,S2FFFM-319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEYIAN Force 3000 Closed Headphones,YEYIAN,YDF-33401D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBL Quantum 200 Closed-Back Gaming Headset,JBL,JBLQUANTUM200BLKAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeam SEB-2014 In-Ear Headphones With Microphone,Sunbeam,72-SB510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRZX100RED Closed-Back Wired Headphones,Sony,MDRZX100RED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PX 100-IIi Closed Headphones,Sennheiser,PX 100-IIi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN Edition S Closed-Back White Headphones,HiFiMAN,Edition S White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRNC8 Noise-Cancelling Closed-Back Headphones,Sony,MDRNC8,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-X05/WS Closed White Headphones,Sony,MDR-X05,WS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feenix Aria Closed Headphones Brown / Black,Feenix,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech 200vi Closed In-Ear Headphones,Ultimate Ears,985-000282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony INZONE H3 Headset,Sony,H3 Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKP200ISBK Closed With Microphone Headphones,Audio-Technica,ATH-CKP200ISBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHE3590BL/10 Closed In-Ear Headset With Microphone,Philips,SHE3590BL,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKSTAR Forge Headset,Takstar,9518644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs Sound Blaster Inferno Gaming Headset,Creative Labs,70GH029000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M50 Red Closed-Back Headphones,Audio-Technica,7.13758E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics ACM-940 Closed Headphones,Cyber Acoustics,8.40356E+11,ACM-940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Crusher Headphones,Skullcandy,S6SCHX-460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKF300LGR Closed In-Ear Headphones,Audio-Technica,ATH-CKF300LGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP Massdrop x Koss Porta Pro X Open-Back Headphones,DROP,Porta Pro X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobra e-3luered Closed Headphones,Cobra,e-3luered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKL202iSBL Closed-Back In-Ear Headphones With Microphone,Audio-Technica,ATH-CKL202iSBL,ATH-CKL202ISBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech Ultimate Ears 4000 Closed-Back Headphones,Ultimate Ears,982-000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX 215 Closed In-Ear Headphones,Sennheiser,CX 215 Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy PLYR 1 Gaming Headset 7.1 Channel,Skullcandy,SMPYFY-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus TUF Gaming H7 Wired Gaming Headset,ASUS,90YH01MY-B8UA00,TUF Gaming H7,AS TUF GAMING H7 (YEL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CK313IBK In Ear Headphones With Microphone,Audio-Technica,ATH-CK313IBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCCAT ANALOG 5.1 Channel Closed-Back Wired Headphones,ROCCAT,ROC-14-900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha HPH-PRO500BU Closed-Back Headphones,Yamaha,HPH-PRO500BU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics AC-744 Closed-Back Black / Silver Headphones,Cyber Acoustics,AC-744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harman Kardon HARKARNI Closed-Back Wired In-Ear Headphones With Microphone,Harman Kardon,HARKARNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Hammerhead Pro Closed In-Ear With Microphone Headset,Razer,RZ04-00910100-R3M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 360 PRO Closed-Back Headphones,Sennheiser,HD360PRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMDIAS HEBE Closed-Back Gaming Headset,GAMDIAS,GHS2300 USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRAS200BLK Closed Wired Earbuds,Sony,MDRAS200BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHL1601 Closed Wired Headphones Pink,Philips,Model SHL1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G433 (Camo Blue) Wired Gaming Headset 7.1 Channel,Logitech,981-000688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech H110 Headset,Logitech,981-000214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 820 Closed-Back Headphones,Sennheiser,507435,HD 820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final E4000 Closed-Back Earbud,final,FI-E4DALD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE450-K In-Ear Closed Wired Headphones,Panasonic,RP-HJE450P-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 280 PRO Closed Headphones,Sennheiser,HD280PRO                                                    506845,506845,HD 280 PRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etymotic Research HF2 In-Ear Headset with Microphone,Etymotic Research,ER23-HF2-BLACK-AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G733 Wireless Gaming Headset,Logitech G,981-000863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Siberia Elite 7.1 Channel Closed-Back Gaming Headset,SteelSeries,51127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken V3 Pro 7.1 Channel Gaming Headset,Razer,RZ04-03460100-R3U1                                                    RZ04-03460100-R3M1,RZ04-03460100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair Raptor HS40 7.1 Channel Closed Headset,Corsair,CA-9011122-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bose Ae2i Closed Headphones,Bose,345444-0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCA HP59MICWH Closed-Back In-Ear Headphones,RCA,HP59MICWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status Audio OB-1 Open Headphones,Status Audio,OB-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDRE9LP Earbud (Gray),Sony,CZ-MDRE9LP,GRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser M2 AEG Ivory Closed-Back Headphones,Sennheiser,M2 AEG Ivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCCAT Elo Air 7.1 Channel Closed Gaming Headset,ROCCAT,ROC-14-142-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Heaven VI Closed Earbud,Final,FI-HE6BCC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polk UltraFit 500 Closed In-Ear Headphones,Polk,AM1103-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony 777786204211 Closed Headphones,Sony,7.77786E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Crusher Closed-Back Headphones,Skullcandy,S6SCGY-442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gear Head HQ4750GRN Closed-Back Headphones,Gear Head,8.7826E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss GMR-545-AIR Headset,Koss,192170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIIG CE-EP0112-S1 Closed-Back In-Ear Headphones (Black / White),SIIG,CE-EP0112-S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-XB500 Wired Closed-Back Headphones,Sony,MDR-XB500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CK313MWH Closed In-Ear Headphones with Microphone,Audio-Technica,ATH-CK313MWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKR3ISWH In-Ear Wired Headphones With Microphone,Audio-Technica,ATH-CKR3ISWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2INCZ-036 Closed In-Ear Headphones,Skullcandy,S2INCZ-036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCHOSE V9 Pro 7.1 Channel Closed Headset,MCHOSE,HW-V9-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klipsch Image S3 Closed-Back In-Ear Headphones,Klipsch,Image S3 - Perfect Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser MOMENTUM 4 Closed Headphones,Sennheiser,509267                                                    MOMENTUM 4 White                                                    M4AEBT White,509267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeam SEB-2014 In-Ear Headphones with Microphone,Sunbeam,72-SB510PUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HX40-A Wired Headphones Closed-Back Blue / White,Panasonic,RP-HX40-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M50xSTS StreamSet Closed Wired Headphones,Audio-Technica,ATH-M50xSTS-USB,ATH-M50XSTS-USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair VOID Special Edition Yellowjacket 7.1 Channel Closed Gaming Headset,Corsair,CA-9011135-NA                                                    VOID WIRELESS SE YELLOWJACKET                                                    CA-9011135-EU,Void Wireless SE RGB,FBA_CA-9011135-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud III Closed-Back Gaming Headset,HyperX,727A9AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules HDP DJ-Pro M1001 Headphones Closed-Back Black/Blue,Hercules,4780581                                                    HDP DJ-Pro M1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunterspider V1 7.1 Channel Gaming Headset,Hunterspider,V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bose AE2 Closed Headphones,Bose,329532-0020,329532-0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final SONOROUS X Closed-Back Headphones,Final,FI-SO10BD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech 200vi Earbud Headphones With Microphone,Logitech,985-000432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica SonicFuel CLR100iS In-Ear Wired Headphones with Microphone,Audio-Technica,ATH-CLR100ISWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken Kitty V2 Pro 7.1 Channel Gaming Headset,Razer,RZ04-04510100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic DT 770 PRO X Limited Edition Closed-Back Headphones,beyerdynamic,1000381                                                    43000253                                                    100381,1000381,100381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRXB920 Red Closed-Back Headphones,Sony,MDRXB920,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altec Lansing MZX436P Pink Closed In-Ear Headphones,Altec Lansing,MZX436P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyle Audio PIEH10W Closed-Back Wired In-Ear Headphones White,Pyle Audio,068888904766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bose 625946-0010 Wired In-Ear Headphones With Microphone,Bose,625946-0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer SE-CL07-L In-Ear Closed Headphones,Pioneer,SE-CL07-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Beach EAR FORCE Recon 50X Wired Closed-Back Gaming Headset,Turtle Beach,TBS-2303-01                                                    TBS-2303-02,TBS-2303-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony Gold 7.1 Channel Closed Headphones,Sony,3002498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCCAT Syn Max Air Headset,ROCCAT,ROC-14-155-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PC 350 SE ,Sennheiser,PC350SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba SHELL Closed Headphones,SYBA,OG-AUD63046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobra HS707 Closed-Back Headphones in Black / Blue,Cobra,8TTL26R0P85401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHE3590 Closed-Back Wired In-Ear Headphones White/Purple With Microphone,Philips,SHE3590PP,10,SHE3590PP/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech 960 Closed-Back Gaming Headset,Logitech,1.60895E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple AirPods Max (2024) Closed-Back Wireless Headphones,Apple,MWW83AM,A,MWW83AM/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech 981-000415 Wired Headphones,Logitech,981-000415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair VOID PRO Surround 7.1 Channel Gaming Headset (Black/Red),Corsair,CA-9011157-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bose 717534-0030 In-Ear With Microphone Headphones,Bose,717534-0030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Fidelio L2 Open-Back Headphones,Philips,L2BO,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-ANC9 Closed-Back Wired Headphones,Audio-Technica,ATH-ANC9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALAX HOF Maestro Gloss 7.1 Channel Gaming Headset,GALAX,HGH015CSRGBW0,HGH015CSRGBW1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harman Kardon J22WHT Closed In-Ear Headphones,Harman Kardon,J22WHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKP200WH Closed White Earbud,Audio-Technica,ATH-CKP200WH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memorex 61991 In Ear Closed-Back Headphones,Memorex,61991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP Massdrop x MEE Audio Planamic In-Ear Headphones With Microphone,DROP,Drop x MEE Planamic IEM - Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser GAME ZERO Open-Back Gaming Headset,Sennheiser,G4ME ZERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIVGA SVIGA SV007 Closed-Back Headphones,SIVGA,SV007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Beach Recon 320 7.1 Channel Closed-Back Wired Gaming Headset,Turtle Beach,TBS-6035-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha EPH-20 Indigo In-Ear Headphones,Yamaha,EPH-20 Indigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memorex EB300A In-Ear Closed Headphones,Memorex,98199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Alpha TimTheTatman Edition Closed-Back Wired Gaming Headset,HyperX,639P4AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss HQ2 Closed-Back Headphones,Koss,HQ2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro A20 Gen 2 Closed Gaming Headset,Logitech,939-001882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP Drop + Sennheiser PC38X Open-Back Gaming Headset,DROP,PC38X Black,MDX-36229-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-DJS400-Z Closed Headphones,Panasonic,RP-DJS400-Z,RPDJS400Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyle Audio PWPE10B Closed In-Ear Headphones,Pyle Audio,PWPE10B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries 3H 7.1 Channel Gaming Headset,SteelSeries,61008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CC 510 Closed Headphones,Sennheiser,CC 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audeze Penrose X ,Audeze,205-XB-1122-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus CINEVIBE Closed-Back Wired Headphones,Asus,CINEVIBE,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
